Lname,Fname,Freq,Times,Rank,Regiment
ROBINSON,THE HERCULES EDWARD JOSEPH,0.0,0,Second Lieutenant,
ROGERS,ALAN STANLEY CLARK,0.0,0,Captain,
ROGERS,FREDERICK WILLIAM,0.0,0,Second Lieutenant,
ROSS,GEORGE HUNTINGTON,0.0,0,Captain,
ROY,ADOLPHE VICTOR,0.0,0,Major,
ROYSTON,JOHN,0.0,0,Private,
RYERSON,GEORGE CROWTHER,0.0,0,Captain,
SALUSBURY,NORMAN HORACE PEMBERTON,0.0,0,Second Lieutenant,
SANDEMAN,DAVID RICHARD,0.0,0,Major,
SCHREIBER,WILLIAM ERIC BRYMER,0.0,0,Lieutenant,
SCOTT,JAMES NIMMO,0.0,0,Lieutenant,
SELWYN,CHRISTOPHER WAKEFIELD,0.0,0,Second Lieutenant,
SHAKERLEY,ERIC PIERS,0.0,0,Captain,
SHAKERLEY,GEOFFREY CHARLES,0.0,0,Lieutenant Colonel,
SHAPTER,LEWIS HENRY,0.0,0,Captain,
SHARP,ALFRED GRANVILLE,0.0,0,Major,
SHARPE,WILLIAM FREDERICK NELSON,0.0,0,Lieutenant,
SHAW,ALLAN CRAWFORD,0.0,0,Major,
SMITH,GEORGE JOHN,0.0,0,Captain,
SMITH,HERBERT CARINGTON,0.0,0,Lieutenant Colonel,
SMITH,RANDOLPH RAE,0.0,0,Second Lieutenant,
SMITH,WALTER,0.0,0,Private,
SMITH-REWSE,MEYRICK B W,0.0,0,Lieutenant,
SMITHWICK,JAMES ARNOLD,0.0,0,Captain,
STACEY,FRANK WENDELL,0.0,0,Sub-Lieutenant,
STAIRS,GEORGE,0.0,0,Lieutenant,
STEACIE,RICHARD,0.0,0,Captain,
STEERS,ERNEST PERCIVAL,0.0,0,Private,
STEWART,JOHN HERCHMER,0.0,0,Lieutenant,
STEWART,ROBERT,0.0,0,Captain,
STIRLING,ROBERT ARCHIBALD,0.0,0,Lieutenant,
STRAIGHT,MARSHALL STUART,0.0,0,Second Lieutenant,
STRANGE,FRANK,0.0,0,Lieutenant Colonel,
STROOD,PERCY SAMSON,0.0,0,Lieutenant,
SWAYNE,STEPHEN CORMACK,0.0,0,Lieutenant,
SWEET,JOHN LEMON LESLIE,0.0,0,Second Lieutenant,
SWIFT,THOMAS LEMON,0.0,0,Lieutenant,
TAMBLINGSON,JAMES A,0.0,0,Sergeant,
TAYLOR,GEOFFREY BARRON,0.0,0,Lieutenant,
TENAILLE,DANIEL JEAN,0.0,0,Major,
TENNANT,WILLIAM GALBRAITH,0.0,0,Lieutenant,
THOMPSON,EDWARD HOMER BOXWELL,0.0,0,Lieutenant,
THOMPSON,JOHN ALEXANDER MCKAY,0.0,0,Lieutenant,
THORNE,MARLBOROUGH,0.0,0,Second Lieutenant,
THORP,HENRY GUY HANWING,0.0,0,Second Lieutenant,
TODHUNTER,GILBERT,0.0,0,Lieutenant,
TOFFT,PAUL GEORGE,0.0,0,Lieutenant,
TOWNEND,FRANCIS WHITCHURCH,0.0,0,Captain,
TOWNSEND,HUGH VERE,0.0,0,Second Lieutenant,
TRANTER,JOSEPH LIONEL,0.0,0,Lieutenant,
TRESIDDER,THOMAS ARTHUR,0.0,0,Captain,
WALDIE,CHARLES PERCIVAL,0.0,0,Second Lieutenant,
WALKER,ALLAN DIXON,0.0,0,Lieutenant,
WALKER,SHARPE,0.0,0,Private,
WALLACE,HENRY ATHOLL CHARLES,0.0,0,Captain,
WARD,JOHN SIMEON,0.0,0,Major,
WARMINTON,JOHN NICOL,0.0,0,Major,
WARREN,TRUMBULL,0.0,0,Captain,
WASHINGTON,HUBERT HOWELLS,0.0,0,Lieutenant,
WHIFFIN,HARTLEY ALLEN,0.0,0,Lieutenant,
WHITE,ALBERT,0.0,0,Private,
WHITEHEAD,LIONEL WARD,0.0,0,Captain,
WILGRESS,GEORGE K KORTRIGHT,0.0,0,Lieutenant,
WILLIAMS,ALBERT THOMAS,0.0,0,Private,
WILLIAMSON,GEORGE MASSEY,0.0,0,Lieutenant,
WOOLSEY,WILLIAM W,0.0,0,Private,
WRIGHT,GORDON BROOKS,0.0,0,Major,
YARDLEY,FREDERIC GEORGE,0.0,0,Second Lieutenant,
APPELBE,ERNEST FRANCIS,0.0,0,Captain,
AYLEN,CYRIL KEITH,0.0,0,Lieutenant,
BAKER,HERBERT SHOREY,0.0,0,Captain,
BATES,WILLIAM,0.0,0,Major,
BAXTER,EDWY,0.0,0,Lieutenant Colonel,
BAZELEY,ROLAND ARTHUR,0.0,0,Second Lieutenant,
BELL,ALEXANDER HERBERT,0.0,0,Captain,
BELL,REGINALD WILBERFORCE,0.0,0,Lieutenant,
BELYEA,WARREN HERBERT,0.0,0,Major,
BINGAY,LLOYD WOOLSEY,0.0,0,Captain,
BLACK,SIDNEY ARTHUR,0.0,0,Flight Sub Lieutenant,
BLANDY,CLAUDE MILBERNE,0.0,0,Captain,
BLATCHFORD,THOMAS LEWIS,0.0,0,Captain,
BODDY,ANDREW JOHN,0.0,0,Flight Sub Lieutenant,
BODDY,GUY GERALD,0.0,0,Second Lieutenant,
BRITTON,JOHN CLAYTON,0.0,0,Private,
BRUCE,GEORGE WILLIAM,0.0,0,Lieutenant Colonel,
BUCHANAN,LEO,0.0,0,Lieutenant,
BUCHANAN,REGINALD HEBER BANCROFT,0.0,0,Lieutenant,
CAUGHEY,HUGH,0.0,0,Private,
CHADWICK,FREDERICK WILLIAM,0.0,0,Lieutenant,
CLEGHORN,ALLEN MACKENZIE,0.0,0,Captain,
D'ARCY,ALFRED JOHN KEITH,0.0,0,Lieutenant,
DAW,HERBERT BETHUNE,0.0,0,Lieutenant,
DOHENY,JOHN EDWARD,0.0,0,Lieutenant,
DOUGLAS,CHARLES IRVING,0.0,0,Lieutenant,
DRAKE,AUSTIN EARLE WILLIAM,0.0,0,Private,
DUFF,HEW RAMSAY,0.0,0,Lieutenant Colonel,
DUKE,GORDON EZRA,0.0,0,Flight Sub Lieutenant,
EADIE,SHAVER,0.0,0,Captain,
EARLE,WALLACE SINCLAIR,0.0,0,Second Lieutenant,
ELLIS,SHIRLEY DUNCAN,0.0,0,Second Lieutenant,
EVANS,ALEXANDER EASSON,0.0,0,Lieutenant,
FERGUSON,HARRY WENSLEY,0.0,0,Lieutenant,
FIELD,CHARLES VALENTINE GEARY,0.0,0,Lieutenant,
