Lname,Fname,Freq,Times
AEBERLI,null,1.608762E-6,1,null
AEDY,null,1.608762E-6,1,null
AEMES,null,1.608762E-6,1,null
AERTS,null,3.217524E-6,2,null
AFELSKI,null,1.608762E-6,1,null
AFFANTO,null,1.608762E-6,1,null
AFFELDT,null,3.217524E-6,2,null
AFFLACK,null,1.608762E-6,1,null
AFFLECK,null,4.021905E-5,25,null
AFREMSKY,null,1.608762E-6,1,null
AGAFONOV,null,1.608762E-6,1,null
AGAN,null,1.608762E-6,1,null
AGAPITOS,null,1.608762E-6,1,null
AGAR,null,4.987162E-5,31,null
AGARAND,null,3.217524E-6,2,null
AGARD,null,3.217524E-6,2,null
AGASSIZ,null,6.435048E-6,4,null
AGATE,null,4.826286E-6,3,null
AGER,null,1.2870096E-5,8,null
AGG,null,3.217524E-6,2,null
AGGAS,null,1.608762E-6,1,null
AGGER,null,3.217524E-6,2,null
AGGETT,null,9.652572E-6,6,null
AGGISS,null,1.608762E-6,1,null
AGIOS,null,1.608762E-6,1,null
AGISH,null,1.608762E-6,1,null
AGIUS,null,6.435048E-6,4,null
AGLAND,null,3.217524E-6,2,null
AGLEY,null,1.608762E-6,1,null
AGLHH,null,1.608762E-6,1,null
AGNES,null,1.608762E-6,1,null
AGNEW,null,1.3030972E-4,81,null
AGOMBAR,null,3.217524E-6,2,null
AGON,null,3.217524E-6,2,null
AGOPSOWICZ,null,3.217524E-6,2,null
AGOSE,null,1.608762E-6,1,null
AGOSTINO,null,1.608762E-6,1,null
AGOV,null,1.608762E-6,1,null
AGRANOVICH,null,1.608762E-6,1,null
AGREY,null,1.608762E-6,1,null
AGUILAR,null,1.608762E-6,1,null
AGUR,null,4.826286E-6,3,null
AGUSTORSKI,null,1.608762E-6,1,null
AGUSTUS,null,1.608762E-6,1,null
AHAMAKI,null,1.608762E-6,1,null
AHAMID,null,1.608762E-6,1,null
AHARA,null,3.217524E-6,2,null
AHARAN,null,3.217524E-6,2,null
AHEARN,null,2.7348953E-5,17,null
AHELO,null,1.608762E-6,1,null
AHERN,null,5.4697906E-5,34,null
AHIER,null,1.4478857E-5,9,null
AHIERS,null,6.435048E-6,4,null
AHKEWENZIE,null,1.608762E-6,1,null
AHL,null,1.608762E-6,1,null
AHLBAUM,null,1.608762E-6,1,null
AHLBORN,null,1.608762E-6,1,null
AHLENSTORE,null,1.608762E-6,1,null
AHLGREN,null,3.217524E-6,2,null
AHLMAN,null,1.608762E-6,1,null
AHLQUIST,null,1.608762E-6,1,null
AHLSTROM,null,3.217524E-6,2,null
AHMED,null,1.608762E-6,1,null
AHO,null,4.826286E-6,3,null
AHOE,null,1.608762E-6,1,null
AHOLO,null,1.608762E-6,1,null
AHONEN,null,1.608762E-6,1,null
AHRENS,null,3.217524E-6,2,null
AHRONSON,null,1.608762E-6,1,null
AIBUK,null,1.608762E-6,1,null
AICKEN,null,3.217524E-6,2,null
AICKIN,null,1.608762E-6,1,null
AIDE,null,3.217524E-6,2,null
AIDUKONIS,null,1.608762E-6,1,null
AIGNER,null,1.608762E-6,1,null
AIKEN,null,6.113295E-5,38,null
AIKENHEAD,null,2.413143E-5,15,null
AIKENS,null,2.8957715E-5,18,null
AIKIN,null,1.9305144E-5,12,null
AIKINS,null,2.7348953E-5,17,null
AIKMAN,null,1.9305144E-5,12,null
AILLES,null,3.217524E-6,2,null
AILPORT,null,4.826286E-6,3,null
AIME,null,1.608762E-6,1,null
AIMERS,null,4.826286E-6,3,null
AIMO,null,1.608762E-6,1,null
AIMOE,null,3.217524E-6,2,null
AINDOW,null,1.608762E-6,1,null
AINEY,null,1.608762E-6,1,null
AINGE,null,4.826286E-6,3,null
AINGER,null,8.043809E-6,5,null
AINLAY,null,1.608762E-6,1,null
AINLEY,null,8.043809E-6,5,null
AINSBOROUGH,null,6.435048E-6,4,null
AINSBURG,null,1.608762E-6,1,null
AINSBURY,null,1.608762E-6,1,null
AINSBY,null,1.608762E-6,1,null
AINSCOUGH,null,8.043809E-6,5,null
AINSLEY,null,1.4478857E-5,9,null
AINSLIE,null,3.3784003E-5,21,null
AINSWORTH,null,6.274172E-5,39,null
AINSWORTH-BALL,null,1.608762E-6,1,null
AIR,null,1.608762E-6,1,null
AIRD,null,5.4697906E-5,34,null
AIRDRIE,null,1.608762E-6,1,null
AIREL,null,1.608762E-6,1,null
AIREY,null,2.8957715E-5,18,null
AIRHART,null,3.217524E-6,2,null
AIRIO,null,1.608762E-6,1,null
AIRIS,null,1.608762E-6,1,null
AIRLE,null,3.217524E-6,2,null
AIRLIE,null,1.608762E-6,1,null
AIROLDI,null,1.608762E-6,1,null
AIRRIESS,null,1.608762E-6,1,null
AIRTH,null,2.0913905E-5,13,null
AIRY,null,3.217524E-6,2,null
AISBITT,null,1.608762E-6,1,null
AISENSTAT,null,1.608762E-6,1,null
AISH,null,6.435048E-6,4,null
AISHFORD,null,1.608762E-6,1,null
AISMAN,null,1.608762E-6,1,null
AISTHORPE,null,8.043809E-6,5,null
AISTON,null,3.217524E-6,2,null
AISTROP,null,1.608762E-6,1,null
AITCHESON,null,3.217524E-6,2,null
AITCHISON,null,7.561181E-5,47,null
AITHIE,null,1.608762E-6,1,null
AITKEN,null,2.36488E-4,147,null
AITKENHEAD,null,1.1261333E-5,7,null
AITKENS,null,2.5740192E-5,16,null
AITKIN,null,3.217524E-6,2,null
AITON,null,1.2870096E-5,8,null
AIVAZIAN,null,1.608762E-6,1,null
AIZANNIAN,null,1.608762E-6,1,null
AKAM,null,4.826286E-6,3,null
AKCHURST,null,1.608762E-6,1,null
AKE,null,1.608762E-6,1,null
AKEHURST,null,9.652572E-6,6,null
AKEMCHUK,null,1.608762E-6,1,null
AKENHEAD,null,3.217524E-6,2,null
AKER,null,1.4478857E-5,9,null
AKERBLOM,null,1.608762E-6,1,null
AKERLEY,null,1.9305144E-5,12,null
AKERLY,null,1.608762E-6,1,null
AKERMAN,null,6.435048E-6,4,null
AKERN,null,1.608762E-6,1,null
AKEROYD,null,4.826286E-6,3,null
AKERS,null,2.0913905E-5,13,null
AKERSTREAM,null,3.217524E-6,2,null
AKESON,null,1.608762E-6,1,null
AKEY,null,6.435048E-6,4,null
AKHURST,null,6.435048E-6,4,null
AKIEN,null,1.608762E-6,1,null
AKIENS,null,1.608762E-6,1,null
AKIMCHUK,null,1.608762E-6,1,null
AKIN,null,1.608762E-6,1,null
AKINS,null,1.2870096E-5,8,null
AKISTER,null,3.217524E-6,2,null
AKITT,null,3.217524E-6,2,null
AKIWENZE,null,4.826286E-6,3,null
AKIWENZIE,null,6.435048E-6,4,null
AKIYAMA,null,1.608762E-6,1,null
AKKALAEFF,null,1.608762E-6,1,null
AKLAND,null,1.608762E-6,1,null
AKLEY,null,1.608762E-6,1,null
AKMAKJIAN,null,1.608762E-6,1,null
AKRE,null,6.435048E-6,4,null
AKRIGG,null,9.652572E-6,6,null
AKRITHA,null,1.608762E-6,1,null
AKSELHJELM,null,1.608762E-6,1,null
AKTERIAN,null,1.608762E-6,1,null
AKTOERSKY,null,1.608762E-6,1,null
AKULA,null,1.608762E-6,1,null
ALABASTER,null,1.608762E-6,1,null
ALABONE,null,1.608762E-6,1,null
ALACKSON,null,1.608762E-6,1,null
ALAGNA,null,1.608762E-6,1,null
ALAIN,null,3.7001526E-5,23,null
ALAIN DIT LAVIGNE,null,1.608762E-6,1,null
ALAIR,null,1.608762E-6,1,null
ALAKS,null,1.608762E-6,1,null
ALANDER,null,1.608762E-6,1,null
ALARIE,null,2.8957715E-5,18,null
ALARY,null,9.652572E-6,6,null
ALBAN,null,1.608762E-6,1,null
ALBANESE,null,1.608762E-6,1,null
ALBANITE,null,1.608762E-6,1,null
ALBANY,null,1.608762E-6,1,null
ALBEE,null,3.217524E-6,2,null
ALBEGOFF,null,1.608762E-6,1,null
ALBEN,null,3.217524E-6,2,null
