Lname,Fname,Freq,Times
BARKER,GEORGE CHARLES,1.5210513E-5,1,Private
BARKER,THOMAS,1.5210513E-5,1,Sergeant
BARKER,THOMAS ESSINGTON,1.5210513E-5,1,Private
BARKER,WILLIAM SIDNEY,1.5210513E-5,1,Private
BARKEY,ALFRED (ANGELO),1.5210513E-5,1,Private
BARLOW,FRANK,1.5210513E-5,1,Private
BARNARD,CARL MONTFORD,1.5210513E-5,1,Private
BARNES,ALBERT,1.5210513E-5,1,Private
BARNES,EDWARD ERNEST,1.5210513E-5,1,Lance Serjeant
BARNES,FRANCIS,1.5210513E-5,1,Private
BARNES,FREDERICK FRANCIS,1.5210513E-5,1,Private
BARNES,GEORGE,1.5210513E-5,1,Private
BARNES,PERCY,1.5210513E-5,1,Private
BARNES,RICHARD,1.5210513E-5,1,Private
BARNES,RICHARD GEORGE,1.5210513E-5,1,Private
BARNES,WILLIAM ALFRED,1.5210513E-5,1,Private
BARNHARDT,FRED,1.5210513E-5,1,Private
BARON,HERVE,1.5210513E-5,1,Private
BARONIAN,BAQHASAH (BALTHAZAR),1.5210513E-5,1,Private
BARRATT,GEORGE WILLIAM,1.5210513E-5,1,Private
BARRAU,AIME JEAN,1.5210513E-5,1,Private
BARRETT,HUGH HENRY GUY,1.5210513E-5,1,Private
BARRETT,JAMES,1.5210513E-5,1,Private
BARRETT,JAMES JOSEPH,1.5210513E-5,1,Private
BARRIE,THOMAS,1.5210513E-5,1,Private
BARRINGTON,ALBERT,1.5210513E-5,1,Private
BARRY,EDWARD JOHN,1.5210513E-5,1,Private
BARTHOLOMEW,JOSEPH JOEL BOYCE,1.5210513E-5,1,Private
BARTLE,ERIC LESLIE,1.5210513E-5,1,Private
BARTLETT,GORDON,1.5210513E-5,1,Corporal
BARTLETT,WALTER GEORGE,1.5210513E-5,1,Private
BARUGH,WALTER,1.5210513E-5,1,Private
BASFORD,FREDERICK CHARLES,1.5210513E-5,1,Private
BASING,ALBERT HENRY,1.5210513E-5,1,Sergeant
BASKETT,WILLIAM HENRY,1.5210513E-5,1,Sergeant
BASS,LEWIN AVERY,1.5210513E-5,1,Private
BASSETT,HARRY,1.5210513E-5,1,Private
BASTABLE,HENRY JOHN,1.5210513E-5,1,Private
BASTEDO,ALFRED CARBERT,1.5210513E-5,1,Captain
BATCHELOR,GEORGE ARTHUR,1.5210513E-5,1,Lance Corporal
BATEMAN,EDWARD WADE,1.5210513E-5,1,Sergeant
BATES,GEORGE,1.5210513E-5,1,Private
BATEUP,ERNEST,1.5210513E-5,1,Private
BATTEN,ALBERT,1.5210513E-5,1,Corporal
BATTEN,JOSEPH RICHARD,1.5210513E-5,1,Private
BATY,ROBERT,1.5210513E-5,1,Private
BAXTER,CHARLES ROBERT,1.5210513E-5,1,Private
BAXTER,JOHN TAYLOR,1.5210513E-5,1,Private
BAYES,ERNEST WILLIAM,1.5210513E-5,1,Gunner
BAYLEY,ALBERT EDWARD,1.5210513E-5,1,Private
BAYN (BOLAND),JOHN,1.5210513E-5,1,Private
BAZINET,EMILE CONRAD,1.5210513E-5,1,Private
BEACH,JAMES WALTER,1.5210513E-5,1,Private
BEACH,OLIVER MASSEY,1.5210513E-5,1,Private
BEAMES,THOMAS HENRY,1.5210513E-5,1,Private
BEAN,LEWIS MACKENZIE,1.5210513E-5,1,Private
BEARD,JAMES,1.5210513E-5,1,Private
BEARDMORE,STANTON L MELO KNIGHT,1.5210513E-5,1,Private
BEASTALL,FRANK STANLEY,1.5210513E-5,1,Private
BEATLEY,EDWARD REGINALD,1.5210513E-5,1,Private
BEATON,JOHN,1.5210513E-5,1,Private
BEATS,THOMAS,1.5210513E-5,1,Private
BEATTIE,JOSEPH HENRY,1.5210513E-5,1,Private
BEATTIE,REGINALD,1.5210513E-5,1,Private
BEATTIE,THOMAS,1.5210513E-5,1,Private
BEATTY,FRANK,1.5210513E-5,1,Private
BEATTY,JOHN HENRY (JOSEPH),1.5210513E-5,1,Private
BEAUDIN,JOSEPH ALEXANDRE,1.5210513E-5,1,Private
BEAULIEU,HILDARE,1.5210513E-5,1,Gunner
BEAUMONT,HARRY,1.5210513E-5,1,Private
BECHER,ARCHIBALD VICTOR,1.5210513E-5,1,Major
BECHER,HENRY CAMPBELL,1.5210513E-5,1,Major
BEECROFT,PERCY,1.5210513E-5,1,Private
BEGG,WILLIAM,1.5210513E-5,1,Private
BEITH,JOHN EVAN,1.5210513E-5,1,Corporal
BEKEN,HORACE CARL,1.5210513E-5,1,Sergeant
BELANGER,JEROME,1.5210513E-5,1,Private
BELANGER,LEO,1.5210513E-5,1,Private
BELCHER,EDWARD MACHIN,1.5210513E-5,1,Private
BELEY,WILFRED,1.5210513E-5,1,Private
BELFIELD,JOHN WILKINS,1.5210513E-5,1,Private
BELL,ALAN ROBERT,1.5210513E-5,1,Private
BELL,ANDREW LESLIE,1.5210513E-5,1,Lieutenant
BELL,FRANK,1.5210513E-5,1,Private
BELL,FREDERICK,1.5210513E-5,1,Private
BELL,GEORGE THOMAS,1.5210513E-5,1,Private
BELL,JOHN,1.5210513E-5,1,Private
BELL,JOSEPH,1.5210513E-5,1,Lance Corporal
BELL-IRVING,DUNCAN PETER,1.5210513E-5,1,Lieutenant
BELLAMY,GEORGE CAIN,1.5210513E-5,1,Private
BELLAMY,LEONARD,1.5210513E-5,1,Private
BELLINGER,HENRY GEORGE,1.5210513E-5,1,Lance Corporal
BELLIS,JOHN,1.5210513E-5,1,Private
BENDALL,HUGH HENRY,1.5210513E-5,1,Private
BENFIELD,FRANCIS,1.5210513E-5,1,Lance Corporal
BENHAM,JOHN,1.5210513E-5,1,Lance Sergeant
BENNALLACK,NORMAN JOHN,1.5210513E-5,1,Private
BENNETT,GEORGE W,1.5210513E-5,1,Captain
BENNETT,HAROLD WILFRED,1.5210513E-5,1,Corporal
BENNETT,JOSEPH,1.5210513E-5,1,Private
BENNETT,RUSSELL,1.5210513E-5,1,Private
BENNETT,WILLIAM B,1.5210513E-5,1,Lance Corporal
BENSON,LESTER,1.5210513E-5,1,Private
BENTLEY,FREELAND MARTELL,1.5210513E-5,1,Lieutenant
BENTLEY,JAMES,1.5210513E-5,1,Sergeant
BENTLEY,WALTER CLIVE,1.5210513E-5,1,Private
BERARD,DELPHIS,1.5210513E-5,1,Private
BERKELEY,MAURICE KENNETH,1.5210513E-5,1,Bombardier
BERRY,EDWIN,1.5210513E-5,1,Private
BERRY,JOSEPH,1.5210513E-5,1,Sergeant
BERTHIAUME,FRANK,1.5210513E-5,1,Private
BERTIN,HENRI ISAAC,1.5210513E-5,1,Private
BESWICK,ARCHIE NEVILLE,1.5210513E-5,1,Sergeant
BETTS,JAMES WILFRED,1.5210513E-5,1,Private
BETTS,JOHN GEORGE,1.5210513E-5,1,Corporal
BETTS,THOMAS HENRY,1.5210513E-5,1,Lance Corporal
BETTS,WILLIAM JAMES,1.5210513E-5,1,Private
BEVAN,GORDON FREDERICK,1.5210513E-5,1,Private
BEVAN,PERCIVAL JOHNSTONE,1.5210513E-5,1,Lieutenant
BEWSHER,JOHN,1.5210513E-5,1,Private
BEYNON,IVOR,1.5210513E-5,1,Sapper
BICKERSTAFF,EVERELL MOORE,1.5210513E-5,1,Private
BICKFORD,NORMAN,1.5210513E-5,1,Private
BICKFORD,SHIRLEY,1.5210513E-5,1,Private
BICKNELL,FRANK,1.5210513E-5,1,Private
BIGGER,JOHN,1.5210513E-5,1,Private
BIGGS,GEORGE EDWARD,1.5210513E-5,1,Private
BIGGS,WILLIAM JOHN,1.5210513E-5,1,Lance Corporal
BIGHAM,GEORGE,1.5210513E-5,1,Private
BILLINGS,JAMES G,1.5210513E-5,1,Private
BILLSON,JOHN,1.5210513E-5,1,Lance Corporal
BILSLAND,JAMES,1.5210513E-5,1,Private
BINGHAM,CHARLES GEOFFREY SLADE,1.5210513E-5,1,Private
BINGHAM,FRED,1.5210513E-5,1,Private
BINKLEY,JAMES ROSS,1.5210513E-5,1,Lance Corporal
BINKS,JOSEPH ARTHUR STANLEY,1.5210513E-5,1,Private
BIRCH,ARTHUR RICE,1.5210513E-5,1,Corporal
BIRCH,FREDERICK,1.5210513E-5,1,Private
BIRCH,JOHN ENOCH,1.5210513E-5,1,Private
BIRCH REYNARDSON,EDWARD VERE,1.5210513E-5,1,Lieutenant
BIRCHALL,ARTHUR PERCIVAL,1.5210513E-5,1,Lieutenant Colonel
BIRD,ALBERT PERCY,1.5210513E-5,1,Private
BIRD,EDWARD,1.5210513E-5,1,Sergeant
BIRD,RICHARD DE BERGHS MOLYNEUX,1.5210513E-5,1,Lance Corporal
BIRD,STEVE CARMAN,1.5210513E-5,1,Private
BIRNIE,GEORGE WILSON,1.5210513E-5,1,Private
BIRT,CYRUS BEAUMONT,1.5210513E-5,1,Private
BIRTWHISTLE,GEORGE STUART,1.5210513E-5,1,Private
BISHOP,FREDERICK,1.5210513E-5,1,Company Sergeant Major
BISSET,THOMAS,1.5210513E-5,1,Private
BITTLE,ROBERT NORMAN,1.5210513E-5,1,Private
BLACK,FERGUS,1.5210513E-5,1,Lieutenant
BLACK,FRANCIS,1.5210513E-5,1,Corporal
BLACK,GEORGE FREDERICK WILLIAM,1.5210513E-5,1,Private
BLACK,HARRY,1.5210513E-5,1,Private
BLACK,ROBERT,1.5210513E-5,1,Private
BLACKBURN,EDWARD,1.5210513E-5,1,Private
BLACKBURN,JOHN ROBERT,1.5210513E-5,1,Private
BLACKLEY,FRANCIS PETTIGREW,1.5210513E-5,1,Private
BLACKLOCK,FREDERICK AUGUSTUS,1.5210513E-5,1,Private
BLACKLOCK,JOSEPH,1.5210513E-5,1,Private
BLACKMAN,JOHN,1.5210513E-5,1,Private
BLADES,ROLAND,1.5210513E-5,1,Private
BLAIN,JOHN,1.5210513E-5,1,Private
BLAIR,STUART CARLYLE,1.5210513E-5,1,Private
BLAKE,GEORGE,1.5210513E-5,1,Corporal
BLAKE,JOHN GREEN,1.5210513E-5,1,Private
BLAKE,LOUIS,1.5210513E-5,1,Private
BLAMEY,WILLIAM,1.5210513E-5,1,Private
BLANCHARD,EVARISTE,1.5210513E-5,1,Private
BLANCHETT,CHRISTOPHER,1.5210513E-5,1,Private
BLANE,WILLIAM JAMES,1.5210513E-5,1,Private
BLATCHFORD,HERBERT JOHN,1.5210513E-5,1,Private
BLAYNEY,DAVID JOHN,1.5210513E-5,1,Private
BLEAKLEY,FREDERICK CHARLES,1.5210513E-5,1,Lance Corporal
BLEAKLEY,JOHN,1.5210513E-5,1,Private
BLEES,JACK,1.5210513E-5,1,Private
BLEWDEN,FREDERICK JAMES,1.5210513E-5,1,Corporal
