LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
EVESON,FRANK,EVERSON,FRANK,501045,501045,Sapper,0
GARFUNKLE,HAROLD,GARFUNKEL,HAROLD,136470,136470,Private,0
HATHAWAY,JOSEPH,HATHEWAY,JOSEPH,111218,111218,Private,0
HAZELGROVE,ARTHUR WALTER,HASELGROVE,ARTHUR W,63442,63442,Lance Corporal,0
HUTCHINSON,JAMES JOHNSTON,HUTCHISON,JAMES JOHNSTON,477446,477446,Private,0
ISAACS,ERNEST WILLIAM,ISAAC,ERNEST WILLIAM,603117,603117,Private,0
LANDKASKY,JOHN GEORGE,LANDKOSKI,JOHN GEORGE,433141,433141,Private,0
LASENKO,MIKE,LISENKO,MIKE,913157,913157,Private,0
LE BLANC,PAUL EMILE,LEBLANC,PAUL EMILE,416331,416331,Private,0
LE BOUTILLIER,FRANCIS,LEBOUTILLIER,FRANK,267798,267798,Private,0
LE PAGE,JOHN,LEPAGE,JOHN G W,408141,408141,Private,0
LE PAGE,WILFRID,LEPAGE,WILFRED,440026,440026,Private,0
LE TISSIER,JAMES,LETISSIER,JAMES,75580,75580,Private,0
LECRAW,WILBROD,LECRAU,WILLIAM,144183,144183,Private,0
LEGGET,EDWARD WILLIAM,LEGGE,EDWARD WILLIAM,3320488,3320488,Private,0
LEMIEUX,WILFRID,LAGACE,WILLIE,494,494,Private,0
LYNAGH,MICHAEL,LYNACH,MICHAEL,503377,503377,Sapper,0
MACBRIDE,MALCOLM MACKENZIE,MCBRIDE,MALCOLM MCKENZIE,418188,418188,Private,0
MACCARLIE,MANLEY HARRISON,MCCARLIE,MANLEY HARRISON,14978,14978,Private,0
MACDONALD,DANIEL,MCDONALD,DANIEL,446420,446420,Private,0
MACDONALD,DONALD DUNCAN,MCDONALD,DONALD D,132817,132817,Lance Corporal,0
MACDONALD,DUNCAN,MCDONALD,DUNCAN,420323,420323,Private,0
MACDONALD,JAMES,MCDONALD,JAMES,108361,108361,Private,0
MACDONALD,JOHN KENNETH,MCDONALD,JOHN KENNETH,471050,471050,Private,0
MACDOUGAL,EDWIN JAMISON,MCDOUGAL,EDWIN J,5238,5238,Lance Corporal,0
MACDOUGALL,RUSSELL,MCDOUGALL,RUSSELL HUGH,725536,725536,Lance Corporal,0
MACFARLANE,EDWARD ALEXANDER,MCFARLANE,EDWARD ALEXANDER,113430,113430,Private,0
MACGREGOR,HECTOR ROBERT,MCGREGOR,HECTOR R,415068,415068,Private,0
MACINTYRE,HERBERT CECIL,MCINTYRE,HERBERT CECIL,108418,108418,Lance Corporal,0
MACKELLAR,JAMES,MCKELLAR,JAMES,27928,27928,Private,0
MACKENZIE,JOSEPH,MCKENZIE,JOSEPH,426068,426068,Lance Serjeant,0
MACLAREN,WALTER MCNAB,MCLAREN,WALTER,430806,430806,Private,0
MACLEOD,NORMAN,MCLEOD,NORMAN,424347,424347,Private,0
MACNEIL,JOHN MURDOCH,MCNEIL,JOHN MURDOCK,67630,67630,Private,0
MACPHIE,JOHN,MCPHIE,JOHN,445389,445389,Private,0
MACQUOID,CHARLES LOREN,MCQUOID,CHARLES L,69665,69665,Private,0
MACRAE,HUBERT WESLEY,MCRAE,HUBERT WESLEY,444898,444898,Private,0
MACWILLIAMS,JOHN DALTON,MCWILLIAMS,JOHN DALTON,809185,809185,Sergeant,0
MCBEAN,GUY,MACBEAN,GUY,709840,709840,Private,0
MCCLUSKEY,WALTER SHERMAN,MCCLUSKY,WALTER SHERMAN,111351,111351,Corporal,0
MCCULLAGH,JAMES,MCCULLOGH,JAMES,439274,439274,Lance Corporal,0
MCDONALD,JOHN,MACDONALD,JOHN,447257,447257,Private,0
MCLAUGHLIN,FERGUS GEORGE,MCLAUCHLIN,FERGUS,7813,7813,Private,0
MCLUCKIE,ROBERT FOUNTAIN,MACLUCKIE,ROBERT FOUNTAIN,475971,475971,Private,0
MCMATH,NELSON CAMPBELL,MACMATH,NELSON,426750,426750,Private,0
MCNICOLL,GEORGE,MCNICOEL,GEORGE ALEXANDER,835930,835930,Private,0
MCRAE,DONALD,MACRAE,DONALD,153067,153067,Private,0
MITCHELL,JAMES,MCKENZIE,JAMES MITCHELL,75675,75675,Private,0
MOORCROFT,HAROLD JAMES,MOORE,HAROLD,169006,169006,Private,0
MORRISON,FREDERICK ISRAEL,MORNEAU,FREDERICK ISRAEL,751119,751119,Private,0
MORTON (RICHARDSON),GEORGE,MORTON,GEORGE,486579,486579,Private,0
NEVILL,SIDNEY ARTHUR,NEVILLE,SIDNEY ARTHUR,622942,622942,Private,0
NEWCOMB,CLYDE,NEWCOMBE,C E,69716,69716,Private,0
NIELSON,ARTHUR EDGAR,NIELSEN,ARTHUR EDGAR,110427,110427,Private,0
O'BRIEN,GEORGE,OBRIEN,GEORGE,46179,46179,Sergeant,0
O'BRIEN,JOHN KENNETH,OBRIEN,JOHN KENNETH,167096,167096,Corporal,0
